Дата рождения	Имя	Фамилия	Отчество	Код клиента
05.10.1986	Август	Абаимов	Бенедиктович	1
2-я-1990	Авдей	Абакумов	Богданович	2
12.янв.90	Аверкий	Абакшин	Болеславович	3
15 августа 1957	Аверьян	Абалакин	Бонифатович	4
15 мая 1954	Авксентий	Абалаков	Бонифатиевич	5
08.май.54	Автоном	Абалдуев	Борисович	6
15.сен.56	Агап	Абалкин	Бориславович	7
25 мак 59	Агафон	Абатурин	Брониславович	8
15.12.1845	Аггей	Абатуров	Вавилич	9
1947	Адам	Абашев	Вадимович	10
1951 год	Андриян	Абашин	Валентинович	11
1986 Feb 10 Питер	Азарий	Абашкин	Валерианович	12
10.05.1986	Аким	Абаянцев	Валерьянович	13
05.05.1986	Александр	Абдула	Валериевич	14
19861005 Москва	Алексей	Абдулин	Варламович	15
25.05.1986	Амвросий	Абдулов	Варламиевич	16
04.05.1986	Амос	Абоимов	Варнавич	17
5-10-1986 город Коломна	Ананий	Абраменко	Варсонофович	18
05.05.1952	Анатолий	Абрамкин	Варсонофиевич	19
05.01.1986	Андрей	Абрамов 	Варфоломеевич	20
05.10.1906	Андрон	Борищенко	Васильевич	21
05.10.1986	Андроник	Борков	Вассианович	22
05.10.1986	Аникей	Борковский	Велизарович	23
дата 05101986	Аникита	Боровик	Велимирович	24
дата 15 January 1959	Анисим	Боровицкий	Венедиктович	25
дата 1986/05 Москва	Антип	Боровко	Вениаминович	26
дата рождения 5.10.1986	Антонин	Боровков	Веньяминович	27
рождения 05/10/1986Москва	Аполлинарий	Боровлев	Венцеславович	28
05.10.1987	Аполлон	Боровов	Викентиевич	29
12.янв.91	Арефий	Боровой	Викторович	30
16 августа 1957	Аристарх	Бородин	Викториевич	31
16 мая 1954	Аркадий	Бородинов	Викулович	32
16.сен.56	Арсений	Бородихин	Викулич	33
15.12.1846	Артемий	Бородулин	Виленович	34
1948	Артем	Бородыня	Вильгельмович	35
1952 год	Архип	Бороздин	Виссарионович	36
1987 Feb 10 Питер	Аскольд	Боронин	Виталиевич	37
09.05.1986	Афанасий	Бортенев	Витольдович	38
13.05.1986	Афиноген	Бортников	Владиленович	39
19861005 Москва	Бажен	Борыков	Владимирович	40
25.05.1987	Богдан	Борягин	Владиславович	41
04.05.1987	Болеслав	Боряков	Владленович	42
5-10-1986 город Коломна	Борис	yосолаев	Власович	43
05.05.1953	Борислав	Босулаев	Власиевич	44
05.01.1987	Боян	Босый	Вонифатович	45
05.10.1966	Бронислав	Боталов	Вонифатиевич	46
05.10.1946	Будимир	Боташев	Всеволодович	47
05.10.1987	Вадим	Боташов	Всеславович	48
дата 05101987	Валентин	Ботвин	Вуколович	49
дата 15 January 1960	Валерий	Боткин	Вышеславович	50
дата 1986/05 Москва	Валерьян	Боцян	Вячеславович	51
дата рождения 5.10.1987	Варлаам	Боцяновский	Бенедиктович	52
рождения 05/10/1986Москва	Варфоломей	Бочагов	Богданович	53
05.10.1988	Василий	Бочарников	Болеславович	54
12.янв.92	Вацлав	Бочаров	Бонифатович	55
17 августа 1957	Велимир	Бочкарев	Бонифатиевич	56
17 мая 1954	Венедикт	Бояринов	Борисович	57
17.сен.56	Вениамин	Бояринцев	Бориславович	58
15.12.1847	Викентий	Боярский	Брониславович	59
1949	Виктор	Боярышников	Вавилич	60
1953 год	Викторин	Брагин	Вадимович	61
